Sublibrary|Collection|Material Type|Item Status|IPS|Temp Loc|Item Count
TNS Scherman Library|Periodicals|Periodicals|Claimed|Claimed|No|5
TNS Scherman Library|Main Collection|Issue (bound)|Regular loan|Not in Process|Yes|4
TNS Scherman Library|Reserve Collection|Realia|Reserve 4 hour loan|Not in Process|Yes|9
TNS Scherman Library|Audio Visual|Books|In Cataloging|In Cataloging|No|1
TNS Scherman Library|Main Collection|Books|Special Collection|Not in Process|No|1
TNS Scherman Library|Oversize Collection|Scores|Bindery prep|Bindery prep|No|2
TNS Scherman Library|Reference|Scores|In Transit|In Transit|No|2
TNS Scherman Library|Music Reference|Scores|On Search|On Search|No|2
TNS Scherman Library|Reference|Books|Special|Not in Process|No|1
TNS Scherman Library|Reference|Books|Library Use Only|Not in Process|No|1271
TNS Scherman Library|Music|Sound Recordings|Recorded music|Not in Process|No|1
TNS Scherman Library|Full Score|Books|Regular loan|Not in Process|No|5
TNS Scherman Library|Music Reference|Scores|Library Use Only|Not in Process|No|2800
TNS Scherman Library|Music|Scores|On Search|On Search|Yes|12
TNS Scherman Library|Circ Desk|Mixed Materials|Reserve 4 hour loan|Not in Process|No|1
TNS Scherman Library|Main Collection|Periodicals|Received|Received|No|5
TNS Scherman Library|Music|Scores|In House Cataloging|In House Cataloging|Yes|3
TNS Scherman Library|Annex|Electronic Resources|Multi-Media|Not in Process|No|1
TNS Scherman Library|SpecCol|Videos|Reserve 2 hour loan|Not in Process|No|2
TNS Scherman Library|Main Collection|Sound Recordings|Out to Cat|Out to Cat|No|20
TNS Scherman Library|Full Score|Scores|Lost/Reorder Review|Lost/Reorder Review|No|4
TNS Scherman Library|Music|Scores|Lost and Paid|Lost and Paid|No|13
TNS Scherman Library|Audio Visual|Sound Recordings|In Transit|In Transit|Yes|1
TNS Scherman Library|Music|Scores|Rpl. Order|Rpl. Order|Yes|1
TNS Scherman Library|Main Collection|Scores|Recorded music|Not in Process|No|1
TNS Scherman Library|Main Collection|Books|Regular loan|Not in Process|No|6300
TNS Scherman Library|SpecCol|Scores|Depository|Depository|No|186
TNS Scherman Library|Music|Scores|Bindery prep|Bindery prep|No|10
TNS Scherman Library|Main Collection|Books|Lost and Paid|Lost and Paid|Yes|4
TNS Scherman Library|Music|Sound Recordings|Depository|Depository|No|1
TNS Scherman Library|Periodicals|Periodicals|Received|Received|No|138
TNS Scherman Library|Music|Books|Regular loan|Not in Process|Yes|8
TNS Scherman Library|Main Collection|Sound Recordings|Regular loan|Not in Process|No|9
TNS Scherman Library|Music|Scores|Lost/Reorder Review|Lost/Reorder Review|No|8
TNS Scherman Library|Main Collection|Scores|Out to Cat|Out to Cat|Yes|71
TNS Scherman Library|Music|Scores|In Transit|In Transit|No|2
TNS Scherman Library|Main Collection|Books|Library Use Only|Not in Process|No|11
TNS Scherman Library|Main Collection|Scores|Regular loan|Not in Process|Yes|1
TNS Scherman Library|Reference|Books|Depository|Depository|Yes|1
